"","Vgene","Freq","Condition","Percentage","Y28-2","Y28-4","Y29-2","Y54-4","Y165-1","Y167-1","Y170-1","Y172-1","Y111-1","Y113-1","Y117-1","Y129-1","sem"
"66","TRBV6-2",2,"HD",1.18343195266272,0,0.591715976331361,0,0.591715976331361,1.18343195266272,0,0,1.18343195266272,0,0,0,0,0.170813689109357
"67","TRBV10-1",1,"HD",0.591715976331361,0,0.591715976331361,0,0,0,0,0,0,0,0,0,0,0.14792899408284
"68","TRBV12-3",1,"HD",0.591715976331361,0,0,0,0.591715976331361,0,0,0.591715976331361,0,0,0,0,0,0.14792899408284
"69","TRBV12-5",1,"HD",0.591715976331361,0.591715976331361,0,0,0,0,0,0,0,0,0,0,0,0.14792899408284
"70","TRBV24-1",1,"HD",0.591715976331361,0,0,0,0.591715976331361,0,0,0,0,0.591715976331361,1.18343195266272,0,0,0.14792899408284
"71","TRBV25-1",1,"HD",0.591715976331361,0.591715976331361,0,0,0,1.18343195266272,0,0,0.591715976331361,0,0.591715976331361,0,0,0.14792899408284
"72","TRBV4-3",1,"HD",0.591715976331361,0,0,0,0.591715976331361,0,0,0,0.591715976331361,0,0,0,0,0.14792899408284
"73","TRBV5-4",1,"HD",0.591715976331361,0,0,0.591715976331361,0,0,0,0,2.36686390532544,0,0.591715976331361,0,0,0.14792899408284
"74","TRBV7-6",1,"HD",0.591715976331361,0,0,0.591715976331361,0,0,0.591715976331361,1.18343195266272,0,0,0,0,0,0.14792899408284
"75","TRBV11-2",130,"MIS-C",76.9230769230769,0.591715976331361,0.591715976331361,0,1.18343195266272,1.18343195266272,0.591715976331361,0.591715976331361,1.77514792899408,27.810650887574,23.0769230769231,25.4437869822485,0.591715976331361,6.28770734883435
"76","TRBV28",5,"MIS-C",2.9585798816568,0.591715976331361,0,1.18343195266272,1.77514792899408,1.18343195266272,0.591715976331361,0,0,1.18343195266272,1.77514792899408,0,0,0.443786982248521
"77","TRBV20-1",3,"MIS-C",1.77514792899408,2.36686390532544,3.55029585798817,1.77514792899408,3.55029585798817,5.32544378698225,0.591715976331361,5.32544378698225,2.36686390532544,0.591715976331361,1.18343195266272,0,0,0.283262457916076
"78","TRBV24-1",3,"MIS-C",1.77514792899408,0,0,0,0.591715976331361,0,0,0,0,0.591715976331361,1.18343195266272,0,0,0.283262457916076
"79","TRBV7-2",3,"MIS-C",1.77514792899408,1.18343195266272,0,0.591715976331361,0.591715976331361,0,0.591715976331361,0,1.18343195266272,1.77514792899408,0,0,0,0.443786982248521
"80","TRBV7-8",3,"MIS-C",1.77514792899408,1.18343195266272,0,1.77514792899408,0,4.14201183431953,0,1.18343195266272,0,0.591715976331361,1.18343195266272,0,0,0.283262457916076
"81","TRBV7-9",3,"MIS-C",1.77514792899408,1.18343195266272,1.18343195266272,0.591715976331361,1.18343195266272,0.591715976331361,0,0,0,0,0.591715976331361,1.18343195266272,0,0.283262457916076
"82","TRBV30",2,"MIS-C",1.18343195266272,0.591715976331361,0.591715976331361,0.591715976331361,0,0.591715976331361,0.591715976331361,0,0,0,1.18343195266272,0,0,0.29585798816568
"83","TRBV5-6",2,"MIS-C",1.18343195266272,1.18343195266272,0,0.591715976331361,1.18343195266272,0,1.18343195266272,0,0,0,1.18343195266272,0,0,0.29585798816568
"84","TRBV6-5",2,"MIS-C",1.18343195266272,1.18343195266272,0.591715976331361,0.591715976331361,1.18343195266272,2.9585798816568,0.591715976331361,1.18343195266272,0.591715976331361,0.591715976331361,0.591715976331361,0,0,0.170813689109357
"85","TRBV9",2,"MIS-C",1.18343195266272,0.591715976331361,1.18343195266272,1.18343195266272,1.77514792899408,1.77514792899408,1.18343195266272,0.591715976331361,1.18343195266272,0.591715976331361,0.591715976331361,0,0,0.170813689109357
"86","TRBV11-1",1,"MIS-C",0.591715976331361,0,0,0,0,0,0,0,0,0.591715976331361,0,0,0,0.14792899408284
"87","TRBV12-4",1,"MIS-C",0.591715976331361,0.591715976331361,1.18343195266272,0.591715976331361,0,1.18343195266272,0,0,0,0,0.591715976331361,0,0,0.14792899408284
"88","TRBV14",1,"MIS-C",0.591715976331361,1.77514792899408,0.591715976331361,0,0.591715976331361,1.77514792899408,1.18343195266272,0,0,0,0,0.591715976331361,0,0.14792899408284
"89","TRBV19",1,"MIS-C",0.591715976331361,1.18343195266272,0.591715976331361,1.18343195266272,0.591715976331361,3.55029585798817,0,0.591715976331361,0.591715976331361,0,0.591715976331361,0,0,0.14792899408284
"90","TRBV25-1",1,"MIS-C",0.591715976331361,0.591715976331361,0,0,0,1.18343195266272,0,0,0.591715976331361,0,0.591715976331361,0,0,0.14792899408284
"91","TRBV29-1",1,"MIS-C",0.591715976331361,2.36686390532544,0.591715976331361,0,1.18343195266272,1.18343195266272,0.591715976331361,1.18343195266272,1.18343195266272,0.591715976331361,0,0,0,0.14792899408284
"92","TRBV3-1",1,"MIS-C",0.591715976331361,1.77514792899408,0,0,1.18343195266272,0.591715976331361,0.591715976331361,0,0,0,0,0.591715976331361,0,0.14792899408284
"93","TRBV4-1",1,"MIS-C",0.591715976331361,0,0,1.18343195266272,1.18343195266272,0,0,0.591715976331361,0,0.591715976331361,0,0,0,0.14792899408284
"94","TRBV5-1",1,"MIS-C",0.591715976331361,1.77514792899408,2.36686390532544,0.591715976331361,1.18343195266272,0,1.18343195266272,1.77514792899408,0.591715976331361,0,0,0.591715976331361,0,0.14792899408284
"95","TRBV5-4",1,"MIS-C",0.591715976331361,0,0,0.591715976331361,0,0,0,0,2.36686390532544,0,0.591715976331361,0,0,0.14792899408284
"96","TRBV6-7",1,"MIS-C",0.591715976331361,0,0,0,0,0,0,0,0,0,0,0.591715976331361,0,0.14792899408284
